YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2019,2019,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,,,27.6,39.1,400,,,Some college or technical school,,,,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,VALUE,11,Education,Some college or technical school,EDU,EDUCOTEC
2013,2013,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.7,30.7,,,27.9,33.5,"1,916",,,Some college or technical school,,,,"(43.235541343, -108.109830353)",OWS,OWS1,Q036,VALUE,56,Education,Some college or technical school,EDU,EDUCOTEC
2014,2014,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.1,31.1,,,29.5,32.9,"7,227",,,High school graduate,,,,"(41.641040988001, -99.365720623)",OWS,OWS1,Q036,VALUE,31,Education,High school graduate,EDU,EDUHSGRAD
2019,2019,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,,,29.8,36.5,"1,539",,,Some college or technical school,,,,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,VALUE,35,Education,Some college or technical school,EDU,EDUCOTEC
2018,2018,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,37.4,37.4,,,34.5,40.5,"1,517",,,Some college or technical school,,,,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q036,VALUE,40,Education,Some college or technical school,EDU,EDUCOTEC
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.5,25.5,,,23.4,27.7,"2,157",,,Some college or technical school,,,,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,VALUE,8,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.6,33.6,,,28.9,38.7,662,,,Less than high school,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Education,Less than high school,EDU,EDUHS
2020,2020,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.9,31.9,,,29.6,34.2,"2,513",,,High school graduate,,,,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q036,VALUE,53,Education,High school graduate,EDU,EDUHSGRAD
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.9,33.9,,,30.6,37.5,"1,422",,,High school graduate,,,,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q036,VALUE,33,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.5,40.5,,,32.4,49.2,355,,,Less than high school,,,,"(44.393191174, -89.816370742)",OWS,OWS1,Q036,VALUE,55,Education,Less than high school,EDU,EDUHS
2012,2012,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,27,32.9,"1,745",,,Some college or technical school,,,,"(38.635790776, -92.566300053)",OWS,OWS1,Q036,VALUE,29,Education,Some college or technical school,EDU,EDUCOTEC
2012,2012,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.8,27.8,,,24.9,31,"2,034",,,High school graduate,,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q036,VALUE,15,Education,High school graduate,EDU,EDUHSGRAD
2019,2019,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36,36,,,33.8,38.2,"2,642",,,High school graduate,,,,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,VALUE,20,Education,High school graduate,EDU,EDUHSGRAD
2013,2013,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.8,25.8,,,22.4,29.4,"1,654",,,Some college or technical school,,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q036,VALUE,32,Education,Some college or technical school,EDU,EDUCOTEC
2020,2020,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.3,36.3,,,34,38.7,"2,494",,,High school graduate,,,,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,VALUE,20,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.8,29.8,,,26.7,33.1,"1,736",,,Some college or technical school,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Education,Some college or technical school,EDU,EDUCOTEC
2016,2016,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.2,29.2,,,25.9,32.7,"1,814",,,High school graduate,,,,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Education,High school graduate,EDU,EDUHSGRAD
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.4,35.4,,,33.1,37.8,"2,674",,,High school graduate,,,,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,VALUE,29,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.9,27.9,,,24.2,32,"1,456",,,College graduate,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Education,College graduate,EDU,EDUCOGRAD
2014,2014,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.6,26.6,,,24,29.5,"1,440",,,High school graduate,,,,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25,25,,,23.2,27,"2,894",,,High school graduate,,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q036,VALUE,49,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.5,23.5,,,21.2,25.9,"2,277",,,College graduate,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Education,College graduate,EDU,EDUCOGRAD
2019,2019,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.3,33.3,,,30.7,36,"1,862",,,College graduate,,,,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q036,VALUE,40,Education,College graduate,EDU,EDUCOGRAD
2020,2020,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.5,33.5,,,30.1,37,"1,440",,,Some college or technical school,,,,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q036,VALUE,56,Education,Some college or technical school,EDU,EDUCOTEC
2018,2018,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.8,32.8,,,31,34.6,"3,716",,,High school graduate,,,,"(46.35564873600049, -94.79420050299967)",OWS,OWS1,Q036,VALUE,27,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.9,24.9,,,23.7,26.1,"7,012",,,College graduate,,,,"(38.3477403, -98.200781227)",OWS,OWS1,Q036,VALUE,20,Education,College graduate,EDU,EDUCOGRAD
2013,2013,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.2,22.2,,,20.3,24.2,"2,811",,,College graduate,,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q036,VALUE,23,Education,College graduate,EDU,EDUCOGRAD
2019,2019,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,25.9,34.1,825,,,Some college or technical school,,,,"(39.493240390000494, -117.07184056399967)",OWS,OWS1,Q036,VALUE,32,Education,Some college or technical school,EDU,EDUCOTEC
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.2,28.2,,,26.2,30.3,"2,845",,,College graduate,,,,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,VALUE,29,Education,College graduate,EDU,EDUCOGRAD
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34,34,,,30.4,37.8,920,,,Less than high school,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Education,Less than high school,EDU,EDUHS
2012,2012,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.4,26.4,,,24.1,28.8,"2,568",,,High school graduate,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Education,High school graduate,EDU,EDUHSGRAD
2012,2012,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.6,31.6,,,29.7,33.6,"2,989",,,High school graduate,,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q036,VALUE,23,Education,High school graduate,EDU,EDUHSGRAD
2016,2016,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.1,34.1,,,29.9,38.6,675,,,Less than high school,,,,"(47.522278629, -120.47001079)",OWS,OWS1,Q036,VALUE,53,Education,Less than high school,EDU,EDUHS
2020,2020,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,19.9,19.9,,,18.6,21.3,"5,681",,,College graduate,,,,"(42.82700103200045, -75.54397042699964)",OWS,OWS1,Q036,VALUE,36,Education,College graduate,EDU,EDUCOGRAD
2012,2012,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.3,38.3,,,31.5,45.6,326,,,Less than high school,,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q036,VALUE,38,Education,Less than high school,EDU,EDUHS
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.2,30.2,,,23.3,38,224,,,Less than high school,,,,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q036,VALUE,55,Education,Less than high school,EDU,EDUHS
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.6,39.6,,,33.4,46.1,"1,007",,,Less than high school,,,,"(31.827240407000488, -99.42677020599967)",OWS,OWS1,Q036,VALUE,48,Education,Less than high school,EDU,EDUHS
2019,2019,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.3,30.3,,,28.1,32.5,"2,508",,,High school graduate,,,,"(39.360700171000474, -111.58713063499971)",OWS,OWS1,Q036,VALUE,49,Education,High school graduate,EDU,EDUHSGRAD
2012,2012,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.5,24.5,,,21.7,27.6,"1,318",,,Some college or technical school,,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q036,VALUE,50,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30,30,,,28.5,31.6,"7,209",,,Some college or technical school,,,,"(41.641040988001, -99.365720623)",OWS,OWS1,Q036,VALUE,31,Education,Some college or technical school,EDU,EDUCOTEC
2019,2019,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.2,27.2,,,23.2,31.7,740,,,College graduate,,,,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Education,College graduate,EDU,EDUCOGRAD
2018,2018,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,27.6,31.5,"4,218",,,College graduate,,,,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,VALUE,31,Education,College graduate,EDU,EDUCOGRAD
2017,2017,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.9,33.9,,,30.1,38,968,,,Less than high school,,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q036,VALUE,18,Education,Less than high school,EDU,EDUHS
2015,2015,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.2,30.2,,,23.9,37.3,660,,,High school graduate,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q036,VALUE,11,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.8,27.8,,,25.3,30.3,"3,184",,,High school graduate,,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q036,VALUE,30,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27,27,,,24.8,29.4,"2,364",,,Some college or technical school,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.1,27.1,,,24.4,29.9,"1,730",,,Some college or technical school,,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q036,VALUE,36,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,,,30.5,36,"1,945",,,High school graduate,,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q036,VALUE,50,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27,27,,,20.5,34.6,268,,,Less than high school,,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q036,VALUE,32,Education,Less than high school,EDU,EDUHS
2016,2016,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.7,40.7,,,38.5,43,"2,424",,,High school graduate,,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q036,VALUE,54,Education,High school graduate,EDU,EDUHSGRAD
2013,2013,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,13.7,13.7,,,11.9,15.6,"2,947",,,College graduate,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q036,VALUE,11,Education,College graduate,EDU,EDUCOGRAD
2019,2019,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.4,34.4,,,31.8,37.2,"1,911",,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,1,Education,High school graduate,EDU,EDUHSGRAD
2014,2014,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.3,33.3,,,30.9,35.8,"3,494",,,High school graduate,,,,"(37.645970271, -84.774971048)",OWS,OWS1,Q036,VALUE,21,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.1,32.1,,,29.9,34.3,"3,326",,,High school graduate,,,,"(40.060210141, -82.404260056)",OWS,OWS1,Q036,VALUE,39,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.2,22.2,,,20.2,24.3,"3,633",,,College graduate,,,,"(35.466220975, -79.159250463)",OWS,OWS1,Q036,VALUE,37,Education,College graduate,EDU,EDUCOGRAD
2011,2011,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.7,29.7,,,26.3,33.4,"2,406",,,High school graduate,,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q036,VALUE,46,Education,High school graduate,EDU,EDUHSGRAD
2018,2018,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.1,27.1,,,23.9,30.5,"1,326",,,Some college or technical school,,,,"(41.70828019300046, -71.52247031399963)",OWS,OWS1,Q036,VALUE,44,Education,Some college or technical school,EDU,EDUCOTEC
2012,2012,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.9,38.9,,,33.7,44.4,660,,,Less than high school,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Education,Less than high school,EDU,EDUHS
2013,2013,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.6,31.6,,,25.5,38.4,478,,,Less than high school,,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q036,VALUE,46,Education,Less than high school,EDU,EDUHS
2018,2018,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.1,31.1,,,27.9,34.6,"1,852",,,High school graduate,,,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Education,High school graduate,EDU,EDUHSGRAD
2014,2014,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.2,33.2,,,25.9,41.4,218,,,Less than high school,,,,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Education,Less than high school,EDU,EDUHS
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.4,29.4,,,25.1,34.1,511,,,Less than high school,,,,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,VALUE,8,Education,Less than high school,EDU,EDUHS
2017,2017,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.1,34.1,,,32,36.2,"2,684",,,High school graduate,,,,"(44.661319543001, -84.71439027)",OWS,OWS1,Q036,VALUE,26,Education,High school graduate,EDU,EDUHSGRAD
2012,2012,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.3,24.3,,,21.6,27.2,"2,029",,,Some college or technical school,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Education,Some college or technical school,EDU,EDUCOTEC
2015,2015,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,18.5,18.5,,,16.3,20.9,"1,954",,,College graduate,,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q036,VALUE,30,Education,College graduate,EDU,EDUCOGRAD
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,15.3,15.3,,,14.2,16.6,"6,681",,,College graduate,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Education,College graduate,EDU,EDUCOGRAD
2020,2020,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,42.8,42.8,,,39,46.6,"1,109",,,Some college or technical school,,,,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,VALUE,22,Education,Some college or technical school,EDU,EDUCOTEC
2016,2016,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.3,36.3,,,30.3,42.9,540,,,Less than high school,,,,"(31.312660644, -92.445680071)",OWS,OWS1,Q036,VALUE,22,Education,Less than high school,EDU,EDUHS
2012,2012,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.6,35.6,,,32.7,38.6,"1,888",,,Some college or technical school,,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q036,VALUE,28,Education,Some college or technical school,EDU,EDUCOTEC
