YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2016,2016,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.3,40.3,,,33.8,47.2,572,,,,,"$35,000 - $49,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$35,000 - $49,999",INC,INC3550
2016,2016,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.3,33.3,,,28.8,38.2,645,,,,,"$35,000 - $49,999",,"(44.393191174, -89.816370742)",OWS,OWS1,Q036,VALUE,55,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.6,34.6,,,28.4,41.3,606,,,,,"Less than $15,000",,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,VALUE,35,Income,"Less than $15,000",INC,INCLESS15
2016,2016,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.9,36.9,,,30.6,43.6,468,,,,,"Less than $15,000",,"(43.625381239, -72.517640791)",OWS,OWS1,Q036,VALUE,50,Income,"Less than $15,000",INC,INCLESS15
2014,2014,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.6,22.6,,,18.9,26.7,946,,,,,"$75,000 or greater",,"(39.49324039, -117.071840564)",OWS,OWS1,Q036,VALUE,32,Income,"$75,000 or greater",INC,INC75PLUS
2013,2013,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,26.1,34,"1,446",,,,,"Less than $15,000",,"(41.641040988001, -99.365720623)",OWS,OWS1,Q036,VALUE,31,Income,"Less than $15,000",INC,INCLESS15
2015,2015,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,26.6,32.6,"1,474",,,,,"Less than $15,000",,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Income,"Less than $15,000",INC,INCLESS15
2012,2012,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.2,27.2,,,22.4,32.7,816,,,,,"$50,000 - $74,999",,"(43.682630005, -114.363730042)",OWS,OWS1,Q036,VALUE,16,Income,"$50,000 - $74,999",INC,INC5075
2014,2014,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.6,25.6,,,23.5,27.7,"2,976",,,,,"$75,000 or greater",,"(47.522278629, -120.47001079)",OWS,OWS1,Q036,VALUE,53,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.5,26.5,,,22.1,31.3,689,,,,,"$15,000 - $24,999",,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q036,VALUE,30,Income,"$15,000 - $24,999",INC,INC1525
2019,2019,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.4,39.4,,,34.5,44.5,916,,,,,"$50,000 - $74,999",,"(37.645970271000465, -84.77497104799966)",OWS,OWS1,Q036,VALUE,21,Income,"$50,000 - $74,999",INC,INC5075
2018,2018,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.8,31.8,,,26.3,37.8,556,,,,,"$25,000 - $34,999",,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q036,VALUE,50,Income,"$25,000 - $34,999",INC,INC2535
2016,2016,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.5,33.5,,,29.5,37.8,"1,080",,,,,"$75,000 or greater",,"(31.312660644, -92.445680071)",OWS,OWS1,Q036,VALUE,22,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.4,26.4,,,24.1,28.9,"1,781",,,,,"$75,000 or greater",,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q036,VALUE,30,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.9,34.9,,,30.6,39.5,663,,,,,"$35,000 - $49,999",,"(38.665510202, -80.712640135)",OWS,OWS1,Q036,VALUE,54,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.3,36.3,,,33.4,39.3,"1,576",,,,,"$50,000 - $74,999",,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,VALUE,20,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.7,28.7,,,24.2,33.6,743,,,,,"$15,000 - $24,999",,"(41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.1,38.1,,,32.7,43.8,864,,,,,"$35,000 - $49,999",,"(37.645970271, -84.774971048)",OWS,OWS1,Q036,VALUE,21,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,20.1,20.1,,,18,22.5,"1,940",,,,,"$75,000 or greater",,"(42.827001032, -75.543970427)",OWS,OWS1,Q036,VALUE,36,Income,"$75,000 or greater",INC,INC75PLUS
2014,2014,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.7,36.7,,,31.2,42.6,555,,,,,"$50,000 - $74,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$50,000 - $74,999",INC,INC5075
2019,2019,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.8,26.8,,,23.4,30.6,"1,843",,,,,"$50,000 - $74,999",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Income,"$50,000 - $74,999",INC,INC5075
2019,2019,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29,29,,,26.2,32,"2,318",,,,,"$75,000 or greater",,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q036,VALUE,23,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.3,38.3,,,33.7,43.1,724,,,,,"$15,000 - $24,999",,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q036,VALUE,40,Income,"$15,000 - $24,999",INC,INC1525
2014,2014,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.4,25.4,,,21.5,29.6,858,,,,,"$25,000 - $34,999",,"(47.522278629, -120.47001079)",OWS,OWS1,Q036,VALUE,53,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.7,31.7,,,28.5,35.2,"1,537",,,,,"Less than $15,000",,"(45.254228894001, -68.985031336)",OWS,OWS1,Q036,VALUE,23,Income,"Less than $15,000",INC,INCLESS15
2012,2012,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.6,25.6,,,23,28.5,"1,826",,,,,"$75,000 or greater",,"(37.645970271, -84.774971048)",OWS,OWS1,Q036,VALUE,21,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.3,30.3,,,26.8,34.1,"1,106",,,,,"$35,000 - $49,999",,"(39.766910452, -86.149960194)",OWS,OWS1,Q036,VALUE,18,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.9,24.9,,,20.8,29.6,703,,,,,"$35,000 - $49,999",,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q036,VALUE,50,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.8,40.8,,,35.5,46.3,828,,,,,"$15,000 - $24,999",,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,VALUE,9,Income,"$15,000 - $24,999",INC,INC1525
2014,2014,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.4,34.4,,,30.6,38.4,"1,358",,,,,"$35,000 - $49,999",,"(40.060210141, -82.404260056)",OWS,OWS1,Q036,VALUE,39,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.9,44.9,,,40,49.8,621,,,,,"Less than $15,000",,"(32.745510099000455, -89.53803082499968)",OWS,OWS1,Q036,VALUE,28,Income,"Less than $15,000",INC,INCLESS15
2012,2012,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.9,28.9,,,23.2,35.5,457,,,,,"$25,000 - $34,999",,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Income,"$25,000 - $34,999",INC,INC2535
2016,2016,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.7,34.7,,,31.5,38,"1,408",,,,,"$15,000 - $24,999",,"(38.3477403, -98.200781227)",OWS,OWS1,Q036,VALUE,20,Income,"$15,000 - $24,999",INC,INC1525
2019,2019,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.3,29.3,,,25.2,33.8,"1,042",,,,,"$75,000 or greater",,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,VALUE,2,Income,"$75,000 or greater",INC,INC75PLUS
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.5,35.5,,,30,41.4,478,,,,,"Less than $15,000",,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,VALUE,18,Income,"Less than $15,000",INC,INCLESS15
2020,2020,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.5,39.5,,,34.3,44.9,599,,,,,"$15,000 - $24,999",,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,VALUE,22,Income,"$15,000 - $24,999",INC,INC1525
2019,2019,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.5,36.5,,,31.3,42.1,614,,,,,"$35,000 - $49,999",,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q036,VALUE,55,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,41,41,,,37.9,44.1,"1,382",,,,,"$50,000 - $74,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,VALUE,19,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.5,30.5,,,25.9,35.4,488,,,,,"$35,000 - $49,999",,"(44.56744942400047, -120.15503132599969)",OWS,OWS1,Q036,VALUE,41,Income,"$35,000 - $49,999",INC,INC3550
2012,2012,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.8,30.8,,,28.1,33.7,"1,691",,,,,"$50,000 - $74,999",,"(38.3477403, -98.200781227)",OWS,OWS1,Q036,VALUE,20,Income,"$50,000 - $74,999",INC,INC5075
2014,2014,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.5,30.5,,,27.1,34.3,"1,549",,,,,"$15,000 - $24,999",,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Income,"$15,000 - $24,999",INC,INC1525
2013,2013,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.6,27.6,,,24.6,30.9,"1,646",,,,,"$15,000 - $24,999",,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Income,"$15,000 - $24,999",INC,INC1525
2014,2014,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25,25,,,20.6,30.1,518,,,,,"$25,000 - $34,999",,"(44.567449424, -120.155031326)",OWS,OWS1,Q036,VALUE,41,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.9,32.9,,,24.1,42.9,171,,,,,"Less than $15,000",,"(43.23554134300048, -108.10983035299967)",OWS,OWS1,Q036,VALUE,56,Income,"Less than $15,000",INC,INCLESS15
2013,2013,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,26.4,32.8,"1,346",,,,,"$15,000 - $24,999",,"(18.220833, -66.590149)",OWS,OWS1,Q036,VALUE,72,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.8,35.8,,,32.6,39.1,"1,156",,,,,"$35,000 - $49,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,VALUE,19,Income,"$35,000 - $49,999",INC,INC3550
2016,2016,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.4,33.4,,,28.9,38.3,889,,,,,"$50,000 - $74,999",,"(38.635790776, -92.566300053)",OWS,OWS1,Q036,VALUE,29,Income,"$50,000 - $74,999",INC,INC5075
2015,2015,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30,30,,,25.5,34.9,838,,,,,"$75,000 or greater",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.2,26.2,,,22.5,30.3,904,,,,,"$25,000 - $34,999",,"(42.82700103200045, -75.54397042699964)",OWS,OWS1,Q036,VALUE,36,Income,"$25,000 - $34,999",INC,INC2535
2015,2015,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.8,35.8,,,30.2,41.8,609,,,,,"$35,000 - $49,999",,"(32.745510099, -89.538030825)",OWS,OWS1,Q036,VALUE,28,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,41.4,41.4,,,32.4,51.1,337,,,,,"$35,000 - $49,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
2013,2013,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.6,32.6,,,28.8,36.8,"1,425",,,,,"$15,000 - $24,999",,"(39.290580964, -76.609260111)",OWS,OWS1,Q036,VALUE,24,Income,"$15,000 - $24,999",INC,INC1525
2013,2013,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.9,33.9,,,29.2,38.8,758,,,,,"$50,000 - $74,999",,"(32.745510099, -89.538030825)",OWS,OWS1,Q036,VALUE,28,Income,"$50,000 - $74,999",INC,INC5075
2017,2017,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.2,29.2,,,24.8,33.9,816,,,,,"$35,000 - $49,999",,"(41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.2,36.2,,,29.8,43.2,533,,,,,"Less than $15,000",,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q036,VALUE,23,Income,"Less than $15,000",INC,INCLESS15
2012,2012,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.8,28.8,,,26,31.8,"2,012",,,,,"$15,000 - $24,999",,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.7,30.7,,,27,34.5,"1,338",,,,,"$35,000 - $49,999",,"(45.254228894001, -68.985031336)",OWS,OWS1,Q036,VALUE,23,Income,"$35,000 - $49,999",INC,INC3550
2013,2013,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.4,31.4,,,28.4,34.6,"1,423",,,,,"$50,000 - $74,999",,"(40.793730152, -77.860700294)",OWS,OWS1,Q036,VALUE,42,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.5,30.5,,,26.9,34.4,"1,484",,,,,"$50,000 - $74,999",,"(33.998821303, -81.045371207)",OWS,OWS1,Q036,VALUE,45,Income,"$50,000 - $74,999",INC,INC5075
2019,2019,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.6,35.6,,,30.1,41.6,531,,,,,"$15,000 - $24,999",,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q036,VALUE,33,Income,"$15,000 - $24,999",INC,INC1525
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.2,35.2,,,27.7,43.6,297,,,,,"Less than $15,000",,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q036,VALUE,55,Income,"Less than $15,000",INC,INCLESS15
2016,2016,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.3,36.3,,,32.3,40.4,"1,058",,,,,"Less than $15,000",,"(37.645970271, -84.774971048)",OWS,OWS1,Q036,VALUE,21,Income,"Less than $15,000",INC,INCLESS15
2014,2014,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36,36,,,30.2,42.2,488,,,,,"$35,000 - $49,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,24.5,35,487,,,,,"$35,000 - $49,999",,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,VALUE,16,Income,"$35,000 - $49,999",INC,INC3550
2016,2016,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34,34,,,30.4,37.8,"1,601",,,,,"$25,000 - $34,999",,"(41.641040988001, -99.365720623)",OWS,OWS1,Q036,VALUE,31,Income,"$25,000 - $34,999",INC,INC2535
2016,2016,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.7,31.7,,,28.1,35.6,986,,,,,"$35,000 - $49,999",,"(37.542680674, -78.457890463)",OWS,OWS1,Q036,VALUE,51,Income,"$35,000 - $49,999",INC,INC3550
2016,2016,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.9,27.9,,,24.2,32.1,923,,,,,"$35,000 - $49,999",,"(41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Income,"$35,000 - $49,999",INC,INC3550
